u,i,b,t
1,2268318,0,1511544070
1,4365585,0,1511596146
1,230380,0,1511644942
1,5002615,0,1511839385
1,5002615,0,1511844273
1,3239041,0,1511855664
1,266784,0,1511884553
1,46259,0,1511892772
1,266784,0,1511909676
1,3239041,0,1511939239
1,46259,0,1511940971
1,2087357,0,1511975142
1,2087357,0,1512004568
1,4170517,0,1512011019
1,1340922,0,1512041260
1,4170517,0,1512049438
1,4954999,0,1512061318
1,4954999,0,1512172732
1,2041056,0,1512187543
1,3219016,0,1512190033
1,2028434,0,1512224248
1,3219016,0,1512244023
1,4954999,0,1512264993
1,271696,0,1512272591
100,4572582,0,1511550516
100,2971043,0,1511550600
100,2379198,0,1511550806
100,2971043,0,1511550885
100,2518420,0,1511551443
100,3763048,0,1511551450
100,2518420,0,1511551495
100,3763048,1,1511551860
100,4115850,1,1511563834
100,2379198,0,1511564961
100,2971043,1,1511565222
100,2971043,3,1511617549
100,2337874,0,1511680485
100,4182583,0,1511680521
100,2758020,0,1511683649
100,3245421,0,1511684245
100,2434962,0,1511690835
100,3245421,0,1511704155
100,2758020,0,1511739402
100,2158340,0,1511742127
100,2337874,0,1511742199
100,3245421,1,1511742273
100,2758020,0,1511742275
100,3245421,0,1511742513
100,2158340,1,1511742875
100,598929,0,1511742899
100,4182583,0,1511745391
100,4182583,0,1511750991
100,2337874,0,1511751022
100,598929,3,1511759458
100,3245421,0,1511759664
100,598929,0,1511765548
100,2971043,0,1511765568
100,1046201,0,1511765687
100,4863356,0,1511766426
100,4863356,0,1511766455
100,1046201,3,1511767298
100,2434962,0,1511768604
100,3245421,0,1511771412
100,2434962,0,1511773049
100,4075065,0,1511774179
100,1606258,3,1511789940
100,4840649,3,1511790130
100,251391,3,1511790782
100,510936,0,1511790915
100,251391,0,1511790928
100,4840649,0,1511790973
100,3245421,0,1511823877
100,4075065,0,1511823917
100,251391,0,1511824489
100,1606258,0,1511824712
100,4075065,3,1511833877
100,4840649,0,1511868574
100,251391,0,1511868672
100,4075065,0,1511868722
100,1606258,0,1511868772
100,1046201,0,1511868784
100,251391,0,1511929658
100,4840649,0,1511929671
100,1606258,0,1511929678
100,3656511,0,1512177480
1000,5120034,2,1511542034
1000,4590199,0,1511543742
1000,4590199,0,1511543777
1000,2593031,0,1511657118
1000,5120034,0,1511744280
1000,2956844,1,1511865506
1000,2956844,0,1511865567
1000,848341,0,1511972325
1000,2033067,0,1512040022
1000,1822774,0,1512040382
1000,1822774,0,1512040518
1000,4240134,0,1512042734
1000,2033067,0,1512043285
1000,2663756,0,1512043850
1000,2663756,0,1512043956
