u,i,b,t
10009,4057657,0,1511574025
10009,4415618,0,1511575640
10009,4057657,0,1511578661
10009,4790721,0,1511579652
10009,1420923,0,1511579706
10009,3557403,0,1511580061
10009,4057657,0,1511582308
10009,4057657,0,1511609947
10009,4057657,0,1511610477
10009,4057657,0,1511611568
10009,1420923,0,1511611770
10009,4790721,0,1511611831
10009,1420923,0,1511611891
10009,4790721,0,1511611918
10009,3557403,0,1511611996
10009,4057657,0,1511616027
10009,1420923,0,1511621412
10009,4790721,0,1511621446
10009,37314,0,1511664595
10009,37314,3,1511667232
10009,4790721,0,1511667272
10009,37314,0,1511667304
10009,1420923,0,1511667389
10009,4790721,0,1511667417
10009,4057657,0,1511671886
10009,37314,0,1511672293
10009,4415618,0,1511673258
10009,3557403,0,1511681809
10009,4057657,0,1511685467
10009,4057657,0,1511685866
10009,4415618,0,1511712372
10009,3557403,0,1511713119
10009,4415618,0,1511713418
10009,4415618,0,1511713481
10009,3557403,0,1511716726
10009,4790721,0,1511716811
10009,1420923,0,1511716860
10009,4790721,0,1511717106
10009,1420923,0,1511717160
10009,4790721,0,1511717363
10009,1420923,0,1511717406
10009,4790721,0,1511717415
10009,1420923,0,1511717431
10009,1420923,0,1511756673
10009,4790721,0,1511756705
10009,3557403,0,1511756787
10009,3557403,0,1511762625
10009,3557403,0,1511789600
10009,37314,0,1511796146
10009,37314,0,1511796665
10009,37314,3,1511797357
10009,4415618,2,1511801511
10009,4415618,0,1511873100
10009,1420923,0,1511877584
10009,3557403,0,1511884438
10009,1420923,0,1511889731
10009,4790721,0,1511889753
10009,4415618,0,1511890335
10009,1420923,0,1511919894
10009,4790721,0,1511919911
10009,4057657,0,1511924568
10009,4415618,0,1511924830
10009,37314,0,1511927696
10009,1415565,0,1511929519
10009,1415565,0,1511929841
10009,1415565,3,1511966610
10009,4790721,0,1511969677
10009,1420923,0,1511969705
10009,4790721,0,1511969747
10009,1420923,0,1511969770
10009,1415565,0,1512011645
10009,1415565,0,1512012064
10009,1415565,0,1512012211
10009,1415565,0,1512012868
10009,37314,0,1512020549
10009,37314,0,1512020949
10009,1415565,0,1512022508
10009,1415565,0,1512023341
10009,1415565,0,1512023731
10009,1415565,0,1512023738
10009,1415565,0,1512023848
10009,3557403,0,1512023989
10009,1415565,0,1512038904
10009,3557403,0,1512050937
10009,37314,0,1512096383
10009,1420923,0,1512097977
10009,4790721,0,1512098013
10009,3557403,0,1512098094
10009,4415618,0,1512098836
10009,1420923,0,1512111517
10009,4790721,0,1512111537
10009,1420923,0,1512122151
10009,4790721,0,1512122159
10009,3557403,0,1512122235
10009,3557403,0,1512139660
10009,1420923,0,1512202832
10009,3557403,0,1512202965
10009,3557403,3,1512266493
10009,1420923,0,1512287301
10009,4790721,0,1512287339
10034,830861,0,1512294810
10034,2736714,2,1512294826
10034,830861,0,1512294886
10034,2736714,0,1512294952
10034,2736714,0,1512295013
10034,2736714,0,1512295090
10034,2736714,0,1512295231
10034,830861,2,1512295241
10034,2736714,0,1512295372
10034,2736714,0,1512295452
10034,2736714,0,1512295499
10034,2736714,0,1512295536
10034,2736714,0,1512295574
10034,2736714,0,1512295664
10034,2736714,0,1512295729
10034,830861,0,1512295936
10034,2736714,3,1512303517
100002,2452885,1,1511854685
100002,2452885,0,1511861477
100002,2452885,0,1511861880
100002,2452885,0,1511864359
100002,2452885,0,1511866043
100002,2452885,0,1511869436
100002,2452885,0,1511872476
100002,2452885,0,1511873605
100002,2452885,0,1511877582
100002,2452885,0,1512291555
100068,3133778,1,1511616588
100068,3133778,2,1511616667
100068,3133778,0,1511616735
100068,3133778,0,1511618321
100068,3133778,0,1511622415
100068,3133778,0,1511623063
100068,3133778,0,1511671168
100068,3133778,2,1511671937
100068,3133778,0,1511672912
100068,3133778,0,1511673168
100101,3333206,0,1511958537
100101,3333206,0,1511958546
100101,3333206,0,1511958575
100101,3333206,0,1511958773
100101,3333206,0,1511958803
100101,3333206,0,1511958870
100101,3333206,0,1511958893
100101,3333206,0,1511958914
100101,3333206,0,1511958977
100101,3333206,0,1511958995
100101,3333206,0,1511959004
100101,2331370,0,1511960999
100107,462858,0,1511811571
100107,462858,0,1511811835
100107,462858,0,1511811905
100107,462858,2,1511816565
100107,462858,0,1511824108
100107,462858,0,1511830884
100107,462858,0,1511837018
100107,462858,0,1511850749
100107,462858,0,1511851324
100107,462858,0,1511851553
100107,462858,0,1511852011
100107,462858,0,1511852078
100107,462858,0,1511862202
100107,462858,0,1511862382
100107,462858,0,1511862822
100107,462858,0,1512139614
100107,462858,0,1512220213
100107,462858,0,1512297021
100107,462858,0,1512305651
100107,462858,0,1512306390
100141,2331370,0,1511947892
100141,2331370,0,1511948191
100141,2331370,0,1511962251
100141,2331370,0,1512050237
100141,4121299,0,1512147433
100141,4688200,0,1512147499
100141,4688200,0,1512213137
100141,4688200,0,1512213425
100141,4688200,2,1512213751
100141,4688200,3,1512214152
100141,4688200,0,1512216839
100141,4688200,0,1512218245
100141,4688200,0,1512299842
100141,4688200,0,1512305488
100141,4688200,0,1512309636
100178,3953735,0,1511565030
100178,3953735,0,1511610896
100178,3953735,0,1511610906
100178,3953735,2,1511611227
100178,3953735,0,1511957430
100178,3953735,0,1512041955
100178,3953735,0,1512047127
100178,3953735,0,1512047251
100178,3953735,0,1512047256
100178,3953735,0,1512188883
100215,3636634,2,1511592197
100215,3636634,0,1511592897
100215,3636634,0,1511857053
100215,3636634,0,1511857832
100215,3636634,0,1511917171
100215,3636634,0,1512111319
100215,3636634,0,1512143482
100215,3636634,0,1512144097
